packet size: 512bytes
number of packets: 16.0
signal frequency: 40
sample frequency: 80.0
force units: N, moment units: Nm
Counter: 166.0     , Fx: 0.0       ,Fy: -0.1      , Fz: 0.63      , Mx: 0.0016    ,My: 0.0       ,Mz: 0.0021    ,
Counter: 167.0     , Fx: 0.02      ,Fy: -0.08     , Fz: -0.78     , Mx: 0.0008    ,My: 0.0016    ,Mz: 0.0031    ,
Counter: 168.0     , Fx: -0.02     ,Fy: -0.02     , Fz: -0.15     , Mx: -0.0008   ,My: 0.0       ,Mz: -0.001    ,
Counter: 169.0     , Fx: -0.03     ,Fy: 0.1       , Fz: 0.29      , Mx: 0.0024    ,My: 0.0032    ,Mz: -0.001    ,
Counter: 170.0     , Fx: -0.17     ,Fy: -0.04     , Fz: 0.53      , Mx: -0.0024   ,My: 0.0       ,Mz: 0.0031    ,
Counter: 171.0     , Fx: -0.14     ,Fy: -0.11     , Fz: -0.49     , Mx: -0.0008   ,My: 0.0032    ,Mz: -0.0021   ,
Counter: 172.0     , Fx: 0.08      ,Fy: -0.05     , Fz: -0.24     , Mx: 0.0024    ,My: 0.0008    ,Mz: -0.001    ,
Counter: 173.0     , Fx: 0.13      ,Fy: 0.02      , Fz: 0.29      , Mx: -0.0032   ,My: 0.0016    ,Mz: -0.001    ,
Counter: 174.0     , Fx: 0.14      ,Fy: -0.1      , Fz: -1.07     , Mx: -0.0008   ,My: -0.0008   ,Mz: 0.0       ,
Counter: 175.0     , Fx: 0.06      ,Fy: 0.16      , Fz: 1.36      , Mx: 0.0008    ,My: 0.0016    ,Mz: -0.001    ,
Counter: 176.0     , Fx: -0.23     ,Fy: 0.05      , Fz: 0.05      , Mx: -0.0032   ,My: -0.0008   ,Mz: 0.0031    ,
Counter: 177.0     , Fx: -0.04     ,Fy: 0.0       , Fz: 0.34      , Mx: -0.004    ,My: -0.0024   ,Mz: 0.0052    ,
Counter: 178.0     , Fx: -0.11     ,Fy: -0.17     , Fz: -0.19     , Mx: 0.0024    ,My: 0.0008    ,Mz: 0.0021    ,
Counter: 179.0     , Fx: 0.03      ,Fy: -0.05     , Fz: 0.1       , Mx: -0.0024   ,My: 0.0024    ,Mz: 0.0       ,
Counter: 180.0     , Fx: -0.02     ,Fy: -0.03     , Fz: 0.78      , Mx: -0.0008   ,My: 0.0       ,Mz: -0.001    ,
Counter: 181.0     , Fx: 0.22      ,Fy: -0.01     , Fz: -0.53     , Mx: -0.0016   ,My: -0.0008   ,Mz: -0.001    ,
Counter: 182.0     , Fx: 0.2       ,Fy: 0.27      , Fz: 0.68      , Mx: 0.0024    ,My: 0.0       ,Mz: -0.0042   ,
Counter: 183.0     , Fx: -0.04     ,Fy: -0.01     , Fz: -0.53     , Mx: -0.0024   ,My: -0.0008   ,Mz: -0.001    ,
Counter: 184.0     , Fx: -0.07     ,Fy: 0.05      , Fz: 0.1       , Mx: 0.0008    ,My: -0.0032   ,Mz: -0.001    ,
Counter: 185.0     , Fx: 0.13      ,Fy: -0.08     , Fz: 0.24      , Mx: 0.0048    ,My: -0.0016   ,Mz: -0.001    ,
Counter: 186.0     , Fx: 0.02      ,Fy: -0.16     , Fz: 1.12      , Mx: -0.0016   ,My: 0.0       ,Mz: 0.0021    ,
Counter: 187.0     , Fx: -0.07     ,Fy: -0.13     , Fz: -0.73     , Mx: 0.0024    ,My: -0.0016   ,Mz: 0.0       ,
Counter: 188.0     , Fx: 0.11      ,Fy: 0.08      , Fz: 0.24      , Mx: 0.0016    ,My: -0.0008   ,Mz: -0.001    ,
Counter: 189.0     , Fx: 0.02      ,Fy: 0.17      , Fz: 0.24      , Mx: -0.0008   ,My: -0.0032   ,Mz: 0.0       ,
Counter: 190.0     , Fx: 0.06      ,Fy: -0.24     , Fz: 0.82      , Mx: -0.0016   ,My: -0.0032   ,Mz: 0.0       ,
Counter: 191.0     , Fx: 0.04      ,Fy: 0.01      , Fz: 0.19      , Mx: -0.0008   ,My: 0.004     ,Mz: -0.001    ,
Counter: 192.0     , Fx: 0.13      ,Fy: 0.07      , Fz: 1.07      , Mx: -0.0008   ,My: 0.0       ,Mz: 0.0021    ,
Counter: 193.0     , Fx: 0.02      ,Fy: 0.0       , Fz: 1.84      , Mx: -0.0008   ,My: 0.0016    ,Mz: 0.0021    ,
Counter: 194.0     , Fx: 0.03      ,Fy: 0.11      , Fz: 0.1       , Mx: -0.0016   ,My: 0.0016    ,Mz: -0.0021   ,
Counter: 195.0     , Fx: 0.04      ,Fy: 0.09      , Fz: 0.34      , Mx: 0.0008    ,My: 0.0008    ,Mz: 0.0       ,
Counter: 196.0     , Fx: 0.09      ,Fy: -0.05     , Fz: 0.15      , Mx: 0.0008    ,My: 0.0       ,Mz: 0.0042    ,
Counter: 197.0     , Fx: -0.24     ,Fy: 0.08      , Fz: 0.39      , Mx: -0.0048   ,My: -0.0024   ,Mz: -0.0031   ,
Counter: 198.0     , Fx: -0.16     ,Fy: -0.19     , Fz: 0.15      , Mx: 0.0024    ,My: 0.0008    ,Mz: -0.0042   ,
Counter: 199.0     , Fx: 0.07      ,Fy: -0.01     , Fz: 0.34      , Mx: -0.0032   ,My: 0.0056    ,Mz: 0.001     ,
Counter: 200.0     , Fx: -0.04     ,Fy: -0.13     , Fz: 0.05      , Mx: 0.0       ,My: -0.0008   ,Mz: -0.0042   ,
Counter: 201.0     , Fx: -0.07     ,Fy: -0.09     , Fz: -0.15     , Mx: 0.0024    ,My: 0.0008    ,Mz: -0.0021   ,
Counter: 202.0     , Fx: 0.11      ,Fy: 0.12      , Fz: 0.92      , Mx: -0.0032   ,My: 0.0       ,Mz: 0.0       ,
Counter: 203.0     , Fx: -0.06     ,Fy: -0.07     , Fz: -0.05     , Mx: 0.0       ,My: -0.0032   ,Mz: 0.0021    ,
Counter: 204.0     , Fx: -0.01     ,Fy: -0.25     , Fz: 1.36      , Mx: 0.0024    ,My: 0.0048    ,Mz: 0.0031    ,
Counter: 205.0     , Fx: 0.14      ,Fy: 0.04      , Fz: 0.49      , Mx: 0.0016    ,My: -0.0016   ,Mz: 0.0       ,
Counter: 206.0     , Fx: -0.17     ,Fy: -0.17     , Fz: -0.44     , Mx: -0.0016   ,My: 0.004     ,Mz: -0.0031   ,
Counter: 207.0     , Fx: 0.09      ,Fy: 0.13      , Fz: -0.68     , Mx: -0.0016   ,My: -0.0008   ,Mz: -0.001    ,
